TURN 1
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             51 of lifespan 101 (adult)
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us
Important memories:
  - Juno died on turn 22 — they fell in battle (defending S003).
  - RexM7 died on turn 23 — they were starving.
  - Observed RexM4 south of me
  - Observed S003M4 west of me
  - Starved

Agent:           S003M3
Personality:     cautious and territorial (dominant: caution)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  87 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             119 of lifespan 119 (adult)
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, the strong take what they want, wealth is virtue
Important memories:
  - New strategy: seek_food
  - Observed RexM4 west of me
  - Observed RexM4 near food
  - RexM8 died on turn 86 — they died of old age.
  - Died of old age

Agent:           S003M4
Personality:     cautious and territorial (dominant: caution)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  34 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             59 of lifespan 112 (adult)
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, the strong take what they want
Important memories:
  - Observed S003M5 south of me
  - New strategy: seek_food
  - Observed S003M5 south of me
  - Observed S003M5 south of me
  - Starved

Agent:           S003M5
Personality:     cautious and territorial (dominant: caution)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  69 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             87 of lifespan 87 (adult)
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, the strong take what they want
Important memories:
  - Chief3 died on turn 61 — they fell in battle (risers of S003).
  - Lena died on turn 61 — they fell in battle (Rex's guard).
  - Rex died on turn 65 — they died of old age.
  - New strategy: rest
  - Died of old age

Agent:           Iris
Personality:     friendly (child of Chief2 and F2d) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  94 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             89 of lifespan 89 (adult)
Parents:         Chief2 and F2d
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, the strong take what they want, wealth is virtue
Important memories:
  - New strategy: wander
  - S003M3 died on turn 87 — they died of old age.
  - RexM4 died on turn 89 — they died of old age.
  - New strategy: seek_food
  - Died of old age

Agent:           Juno
Personality:     friendly (child of Chief3 and F3d) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  22 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             16 of lifespan 88 (adult)
Parents:         Chief3 and F3d
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, we are stronger together, wealth is virtue
Important memories:
  - Trust in Chief3 rose to 9 (friendly message)
  - Trust in Chief3 rose to 10 (friendly message)
  - Observed Chief3 north of me
  - Observed Chief3 near food
  - RexM6 died on turn 22 — they fell in battle (Rex's army).

Agent:           Kade
Personality:     friendly (child of Chief2 and Iris) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  121 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             100 of lifespan 109 (adult)
Parents:         Chief2 and Iris
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, the strong take what they want, wealth is virtue
Important memories:
  - A new agent, Otto, appeared on turn 116.
  - New strategy: seek_food
  - Starved

Agent:           Lena
Personality:     friendly (child of Chief3 and Juno) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  61 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             40 of lifespan 96 (adult)
Parents:         Chief3 and Juno
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, we are stronger together, wealth is virtue
Important memories:
  - S002M3 died on turn 59 — they died of old age.
  - Observed Chief3 south of me
  - Milo died on turn 60 — they were starving.
  - Trust in Chief3 rose to 18 (friendly message)
  - Chief3 died on turn 61 — they fell in battle (risers of S003).

Agent:           Milo
Personality:     friendly (child of Chief2 and Iris) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  59 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             28 of lifespan 83 (adult)
Parents:         Chief2 and Iris
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, the strong take what they want, wealth is virtue
Important memories:
  - Trust in Kade rose to 1 (friendly message)
  - Observed Quin north of me
  - Observed Iris south of me
  - S002M3 died on turn 59 — they died of old age.
  - Starved

Agent:           Nell
Personality:     friendly (child of Chief3 and Lena) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  54 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             17 of lifespan 92 (adult)
Parents:         Chief3 and Lena
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, we are stronger together, wealth is virtue
Important memories:
  - Trust in Chief3 rose to 9 (friendly message)
  - Trust in Chief3 rose to 10 (friendly message)
  - Trust in Chief3 rose to 11 (friendly message)
  - Observed Pia south of me
  - S002M5 died on turn 54 — they fell in battle (risers of S001).

Agent:           Orin
Personality:     friendly (child of Chief2 and Iris) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  69 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             28 of lifespan 108 (adult)
Parents:         Chief2 and Iris
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, the strong take what they want, wealth is virtue
Important memories:
  - Observed Iris south of me
  - Observed Kade west of me
  - Trust in Iris rose to 7 (friendly message)
  - S003M5 died on turn 69 — they died of old age.
  - Starved

Agent:           Pia
Personality:     friendly (child of Chief3 and Lena) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          ALIVE
Turns survived:  150 / 150
Stockpile:       12.4 / 20
Money:           2.6
Producer skills: farming, hunting
Reigns over:     S001 (since turn 97, garrison 1)  [by force]
Age:             103 of lifespan 111 (adult)
Parents:         Chief3 and Lena
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, the land provides, we are stronger together, wealth is virtue
Important memories:
  - Ate food
  - New strategy: wander
  - Nova died on turn 146 — they were starving.
  - New strategy: seek_food

Agent:           Quin
Personality:     friendly (child of Iris and Milo) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  75 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             21 of lifespan 105 (adult)
Parents:         Iris and Milo
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, we are stronger together, wealth is virtue
Important memories:
  - Orin died on turn 70 — they were starving.
  - Came of age — now a full adult
  - New strategy: seek_food
  - Rhea died on turn 71 — they were starving.
  - Starved

Agent:           Rhea
Personality:     friendly (child of Chief3 and Lena) (dominant: friendliness)
Goals:           survive=8, wealth=4
Status:          DEAD
Turns survived:  70 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: farming, hunting
Age:             13 of lifespan 87 (dependent child)
Parents:         Chief3 and Lena
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         knowledge is power, the dead watch us, we are stronger together, wealth is virtue
Important memories:
  - Lena died on turn 61 — they fell in battle (Rex's guard).
  - Rex died on turn 65 — they died of old age.
  - S003M5 died on turn 69 — they died of old age.
  - Orin died on turn 70 — they were starving.
  - Starved

Agent:           Mira
Personality:     curious and adventurous (dominant: curiosity)
Goals:           survive=7, friendship=5, wealth=3
Status:          DEAD
Turns survived:  105 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: (none)
Soldiers for:    Pia
Age:             9 of lifespan 104 (adult)
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         (none yet)
Important memories:
  - New strategy: explore south
  - New strategy: seek_food
  - Starved

Agent:           Otto
Personality:     cautious and careful (dominant: caution)
Goals:           survive=9, wealth=4, friendship=3
Status:          DEAD
Turns survived:  125 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: (none)
Age:             9 of lifespan 108 (adult)
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         (none yet)
Important memories:
  - New strategy: seek_food
  - Kade died on turn 122 — they were starving.
  - New strategy: seek_food
  - Starved

Agent:           Zane
Personality:     independent and competitive (dominant: independence)
Goals:           wealth=8, survive=7, friendship=1
Status:          DEAD
Turns survived:  141 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: (none)
Age:             9 of lifespan 89 (adult)
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         (none yet)
Important memories:
  - New strategy: avoid
  - A new agent, Nova, appeared on turn 136.
  - New strategy: seek_food
  - Starved

Agent:           Nova
Personality:     friendly and outgoing (dominant: friendliness)
Goals:           friendship=8, survive=7, wealth=2
Status:          DEAD
Turns survived:  145 / 150
Stockpile:       0.0 / 20
Money:           0.0
Producer skills: (none)
Age:             9 of lifespan 113 (adult)
Discontent:      0.0 / 25 (resentment at 6)
Beliefs:         (none yet)
Important memories:
  - New strategy: wander
  - Zane died on turn 142 — they were starving.
  - New strategy: seek_food
  - Starved

========================================================
SETTLEMENT PRESSURE (world_state['discontent'], M4.4)
========================================================
S001: 0/0 resentful (aggregate discontent 0.0)
S002: 0/0 resentful (aggregate discontent 0.0)
S003: 0/1 resentful (aggregate discontent 0.0)

========================================================
BELIEF CULTURES (world_state['beliefs'], M4.7)
========================================================
S001: (no shared beliefs)
S002: (no shared beliefs)
S003: 'knowledge is power' x1; 'the dead watch us' x1; 'the land provides' x1

========================================================
FAITHS (world_state['faiths'], M4.8)
========================================================
(no faiths have formed)

========================================================
CULTURES (M4.9 — identity, foreign rule, assimilation)
========================================================
S001: culture (none)
S002: culture (none)
S003: culture ['knowledge is power', 'the dead watch us', 'the land provides', 'we are stronger together', 'wealth is virtue']

========================================================
WRITTEN RECORDS (M4.10 — literacy, law, archive, chronicle)
========================================================
S001: illiterate (no lasting records)
S002: illiterate (no lasting records)
S003: LITERATE
    law set by Rex: tax 0.25, levy 0.2
    archive: ['cooking', 'farming', 'fire', 'hunting', 'tools', 'writing']   chronicle: 9 entries

========================================================
METALLURGY (M4.11 — forges & arms)
========================================================
S001: neolithic (no metallurgy)
S002: neolithic (no metallurgy)
S003: FORGE (better tools) + ARMED (weapons)

========================================================
ERAS (M4.12 — the march of ages)
========================================================
S001: Pre-Neolithic
S002: Pre-Neolithic
S003: Iron Age

========================================================
DIPLOMACY (M4.13 — stance, pacts, alliances)
========================================================
(no sovereign kingdom pairs)

========================================================
TRADE & INTERDEPENDENCE (M4.14 — routes, volume, wars)
========================================================
(no trade routes have formed)

========================================================
BALANCE OF POWER (M4.15 — hegemon, coalition)
========================================================
strongest power controls 0% of the world  (no hegemon — balanced)
no active coalition

# The Chronicle of the Age

*Writing was invented in turn 3; before it, the record is legend.*

## The Great Figures
- **Rex the Grasping** — Conqueror, active turns 10–65. Deeds: 1 conquests, 132 levies. Fate: the line was extinguished.
- **Chief2 the Prophet** — Prophet, active turns 9–57. Deeds: 29 prophecies. Fate: passed from the record.
- **Iris the Prophet** — Prophet, active turns 35–75. Deeds: 20 prophecies. Fate: passed from the record.
- **Chief3 the Prophet** — Prophet, active turns 6–59. Deeds: 11 prophecies. Fate: passed from the record.

## The Houses
- **the House of Rex** — founded turn 10, 1 generation(s), 0 crown(s) passed, 1 titled kin (Rex). Fate: the line was extinguished.

## The Saga
- **Turn 0 — a lost conquest**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 3 — the Invention of Writing**: F2d of S002 devised writing — history begins.
- **Turn 4 — an event lost to time**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 5 — the rise of a creed**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 6 — the Advent of the Faith of the Enlightened and the Iron Truth**: Chief3 arose as prophet of the Faith of the Enlightened and the Iron Truth.
- **Turn 6 — the Rise of the Faith of the Enlightened and the Golden Path**: the Faith of the Enlightened and the Golden Path took root in S002.
- **Turn 9 — a forgotten secession**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 9 — the Advent of the Faith of the Enlightened and the Iron Truth**: Chief2 arose as prophet of the Faith of the Enlightened and the Iron Truth.
- **Turn 10 — Rex's Seizure of S002**: Rex took S002 by force.
- **Turn 10 — the Advent of the Faith of the Enlightened and the Covenant**: Chief3 arose as prophet of the Faith of the Enlightened and the Covenant.
- **Turn 10 — the rise of a creed**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 15 — a forgotten revolt**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 15 — the rise of a creed**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 21 — the rise of a creed**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 22 — a lost conquest**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 24 — S003 enters Iron Age**: S003 reached Iron Age.
- **Turn 26 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 29 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 29 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 29 — the Secession of Chief2**: Chief2 broke away from Rex and reclaimed independence.
- **Turn 30 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 30 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 31 — S001 enters Bronze Age**: S001 reached Bronze Age.
- **Turn 31 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 31 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 32 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 32 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 33 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 33 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 34 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 34 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 35 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 35 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 36 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 36 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 37 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 37 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 37 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 38 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 39 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 39 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 39 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 40 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 40 — the Secession of Chief3**: Chief3 broke away from Rex and reclaimed independence, saying “reclaim independence”.
- **Turn 41 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 41 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 41 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 42 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 43 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 43 — the rise of a creed**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 44 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 44 — the rise of a creed**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 45 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 45 — the rise of a creed**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 46 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 46 — the rise of a creed**: its names are lost to the preliterate dark.  _(legend)_
- **Turn 47 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 47 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 47 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 48 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 49 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 49 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 50 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 50 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 50 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 51 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 52 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 52 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 53 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 53 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 53 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 54 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 54 — the S001 Uprising (crushed)**: the people of S001 rose and were put down.
- **Turn 55 — S001 enters Bronze Age**: S001 reached Bronze Age.
- **Turn 55 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 55 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 55 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 56 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 57 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief2 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 57 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 57 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 58 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 59 — S002 enters Bronze Age**: S002 reached Bronze Age.
- **Turn 59 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 59 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Chief3 arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 59 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 60 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 61 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 61 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 61 — the S003 Uprising (crushed)**: the people of S003 rose and were put down, saying “the time was not yet ripe to raise the banner”.
- **Turn 62 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 62 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 63 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 63 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 64 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 64 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 65 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 65 — the End of the House of Rex**: the line of Rex died out.
- **Turn 65 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 66 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 66 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 67 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 67 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 68 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 68 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 69 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 69 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 70 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 70 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 71 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 71 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 72 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 72 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 73 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 73 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 74 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 74 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 75 — the Advent of the Faith of the Enlightened and the Watchful Dead**: Iris arose as prophet of the Faith of the Enlightened and the Watchful Dead.
- **Turn 75 — the Rise of the Faith of the Enlightened and the Watchful Dead**: the Faith of the Enlightened and the Watchful Dead took root in S002.
- **Turn 97 — a lost conquest**: its names are lost to the preliterate dark.  _(legend)_

========================================================
INFERENCE COST (strategy caching)
========================================================
Agent-turns executed:      1370
LLM strategy calls made:   0
Per-turn design would use: 1370 LLM calls
Saved by caching:          1370 calls (~100% fewer)
Pivot mind consults:       31 (flipped 12 close call(s); 29 LLM inclination call(s))
Pivot motives in saga:     3 attached, 3 no-consult (decisive; correctly blank), 0 lookup-failed

========================================================
EVENTS LOG (world_state['events'])
========================================================
turn 0: RexM0 died (fell in battle)
turn 0: RexM1 died (fell in battle)
turn 0: RexM2 died (fell in battle)
turn 0: Town0 died (fell in battle)
turn 0: Town1 died (fell in battle)
turn 0: Town2 died (fell in battle)
turn 0: Town3 died (fell in battle)
turn 0: Rex seized S001 by force (9 fighters vs 6 defenders; 3+4 fell) -> MONARCH of S001
turn 0: S002M0 died (fell in battle)
turn 0: S002M1 died (fell in battle)
turn 0: F2a died (fell in battle)
turn 0: F2b died (fell in battle)
turn 0: F2c died (fell in battle)
turn 0: Chief2 trust in Rex: 0 -> 2 (swore fealty after conquest)
turn 0: KING Rex CONQUERED S002 into the realm (6 host vs 4 defenders; 2+3 fell) -> vassal Chief2; realm now 2 settlements
turn 0: S003M0 died (fell in battle)
turn 0: S003M1 died (fell in battle)
turn 0: F3a died (fell in battle)
turn 0: F3b died (fell in battle)
turn 0: F3c died (fell in battle)
